OTU ID	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__cc_115	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae sedis;g__Debaryomyces	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	k__Bacteria;Unassigned;Other;Other;Other;Other;Other	k__Fungi;p__Basidiomycota;c__Incertae sedis;o__Malasseziales;Other;Other	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
01.7123.01	0.0	0.000464252553389	0.0	0.000812441968431	9.02713298256e-05	0.0443103270401	0.00185701021356	0.00742804085422	0.587176312803	0.00103167234086	0.0560069122047	0.191397000789	0.00410089755494	0.000361085319303	0.0054936552151	0.0860299921073	0.0	0.0	0.000335293510781	0.0371531001754
01.7335.01	0.0	0.0	0.0	4.5593398076e-05	0.0	0.037796927005	0.0	0.0	0.000151977993587	0.000151977993587	4.5593398076e-05	0.301075268817	0.00215808750893	0.000121582394869	0.00600313074667	0.146759662889	4.5593398076e-05	0.0	0.0	1.51977993587e-05
01.7363.01	3.79161295215e-05	0.000492909683779	0.0	0.00487222264351	0.000625616137105	0.0116212936983	0.000682490331387	0.0209297034959	0.00242663228938	3.79161295215e-05	0.181239099113	0.0266064257028	0.000417077424736	0.000530825813301	0.0111852582088	0.0	0.000151664518086	0.00487222264351	0.00208538712368	0.0520019716387
01.7406.01	0.0	0.000449763385349	0.0	0.000938636630294	5.86647893934e-05	0.0115960733701	0.000332433806563	0.0101685634949	0.00105596620908	0.0	0.00698110993782	0.0342323651452	0.000449763385349	0.000234659157574	0.00469318315147	0.000345781466113	0.0228597129336	0.0	0.000527983104541	0.00862372404083
01.7464.01	3.89256520047e-05	0.00688984040483	0.000661736084079	0.00688984040483	0.000155702608019	0.168080965356	0.00443752432853	0.0291163876995	0.00136239782016	0.00108991825613	0.0172829894901	0.585215605749	0.000467107824056	0.00432074737252	0.0066562864928	0.0	0.0	0.00140132347217	0.0216815881666	0.0635266640716
01.7505.01	0.00221141088014	0.00513889766433	0.0	0.00551799667235	6.3183168004e-05	0.0199658810893	0.0375729239064	0.0565068132516	0.00256944883216	6.3183168004e-05	0.0878035424696	0.530736922489	0.0219666814094	0.000147427392009	0.0101935511047	0.0	0.00046334323203	0.0	0.00638149996841	0.263789726417
01.7514.01	7.4368241786e-05	0.000356967560573	0.0	0.00398613775973	1.48736483572e-05	0.194621688754	0.000356967560573	0.0273823866256	0.0090729254979	0.000223104725358	0.0131483051478	0.826904055391	0.000580072285931	0.0225187036128	0.0061874377166	0.0	0.0	0.000163610131929	0.000699061472789	0.0106941531688
01.7535.01	0.000113566674995	0.00256660685488	0.000431553364981	0.00586004042974	0.000476980034979	0.00268017352988	0.00413382696981	0.0420423830831	0.00258932018988	4.5426669998e-05	0.0134008676494	0.421089143254	0.000794966724964	0.000431553364981	0.00592818043473	0.525841137704	0.000113566674995	0.000794966724964	0.00308901355986	0.0767937856315
01.7543.01	0.0	0.00540481816453	0.0	0.000407398354111	0.0	0.0014666340748	0.000516037915207	0.00942448192509	0.00602949564084	0.0	0.00141231429425	0.00531511009871	0.000760476927673	0.0188218039599	0.0028246285885	0.0	0.0	0.0	0.000162959341644	0.020913115511
01.7635.01	0.000122274302018	0.00048909720807	0.0	0.00130425922152	0.000203790503363	0.00150804972488	0.000774403912778	0.014061544732	0.00383126146322	0.000122274302018	0.00680660281231	0.17338920901	0.000855920114123	0.000529855308743	0.009333605054	0.17967522263	0.0159771754636	0.0	0.00277155084573	0.00884450784593
01.7773.01	7.25759628411e-05	0.00147571124444	2.41919876137e-05	0.00314495838978	9.67679504548e-05	0.00360460615444	0.000943487516934	0.0188213663635	0.00515289336172	4.83839752274e-05	0.084357460809	0.789644012945	0.0194503580414	0.000387071801819	0.00822527578866	0.128478964401	0.0	0.0	0.0070640603832	0.133201083801
01.7789.01	0.0	8.04569957358e-05	0.0	0.00108616944243	0.0	0.00152868291898	8.04569957358e-05	0.00506879073135	0.00193096789766	0.0	0.00358033631024	0.355156037992	4.02284978679e-05	0.000201142489339	0.00502856223349	0.0	0.0075227291013	0.0	0.0	0.00273553785502
01.7791.01	0.014076531025	0.0178518458593	0.000188765741715	0.0040449801796	0.000188765741715	0.00757759620311	0.00746973006499	0.151875522477	0.00266968691853	0.000188765741715	0.0870210069304	0.46106557377	0.00620230294205	0.000647196828736	0.00682253323625	0.0	0.0	2.69665345306e-05	0.0130787692474	0.0883423671224
01.7959.01	0.000612182430364	0.0	0.0	0.00811141720233	0.0	0.123354759718	0.00137741046832	0.0212733394552	0.000918273645546	0.000306091215182	0.02096724824	0.0415667466027	0.0286195286195	0.0	0.00474441383532	0.0	0.0	0.0	0.0016835016835	0.564279155188
01.8024.01	0.00105940219448	0.0103922310506	0.000100895447093	0.00100895447093	5.04477235465e-05	0.0230041619372	0.000681044267877	0.228175053601	0.00174044646235	0.000201790894186	0.0684575608526	0.334256694367	0.000403581788372	0.0010341783327	0.00393492243663	0.000615574022776	0.0	0.000454029511918	0.00966073905915	0.0346828099382
01.8039.01	7.67911536591e-05	0.0031228402488	0.0	0.0637110604858	0.000102388204879	0.302761921827	0.00176619653416	0.0119794199708	0.00406993114393	0.000332761665856	0.0116210612537	0.0610307414105	0.00122865845855	0.000102388204879	0.00199656999514	0.0	0.0	0.0	0.000435149870735	0.0205544321294
01.8089.01	6.04320894395e-05	0.000906481341592	0.0	0.00501586342348	0.0	0.00211512313038	0.00175253059375	0.0192778365312	0.00223598730926	0.0	0.00840006043209	0.906855049712	0.00105756156519	0.000151080223599	0.00568061640731	0.0	3.02160447197e-05	3.02160447197e-05	0.00543888804955	0.329324671401
01.8095.01	7.38043692187e-05	0.000959456799843	0.0	0.0027553631175	4.92029128124e-05	0.240626845109	0.00019681165125	0.0190661287148	0.0012054713639	7.38043692187e-05	0.12369612281	0.105208603265	0.0255855146625	0.000295217476875	0.0083152922653	0.206271054677	0.000172210194844	4.92029128124e-05	0.0285376894312	0.116906120842
01.3365.01	0.000569057498518	0.00407824540605	2.37107291049e-05	0.00505038529935	0.000592768227623	0.0135862477771	0.00893894487255	0.177000592768	0.00263189093065	4.74214582098e-05	0.0344042679312	0.0263296471827	0.000474214582098	0.000758743331357	0.0101481920569	0.0	4.74214582098e-05	0.0	0.00659158269117	0.113882631891
01.3575.01	0.000285266010555	0.0170089858793	0.0127656539723	0.00399372414777	0.000178291256597	0.00859363856796	0.00385109114249	0.153437455427	0.00367279988589	3.56582513194e-05	0.0246398516617	0.0	0.000998431036942	0.000427899015832	0.00959206960491	0.127126230976	7.13165026387e-05	7.13165026387e-05	0.00213949507916	0.0643631436314
01.3735.01	0.000463039523731	0.00420042996527	0.00138911857119	0.00382007607078	0.00256325450637	0.00415081858773	0.0155614354225	0.0999173143708	0.00878121382504	0.00377046469324	0.0341160906234	0.0686032138443	0.000711096411444	0.000826856292376	0.014966098892	0.3739184178	1.65371258475e-05	6.61485033901e-05	0.00449809823053	0.0325285265421
01.4200.01	0.00222216673741	0.00399490649422	2.49681655889e-05	0.00144815360415	2.49681655889e-05	0.00277146638037	0.00881376245287	0.0499113630122	0.00167286709445	9.98726623555e-05	0.065466530174	0.339530630905	0.0047189832963	0.000174777159122	0.00549299642955	0.0	7.49044967666e-05	0.00189758058475	0.0586252528027	0.393623130509
01.5324.01	0.000547756545691	0.00203452431257	0.0	0.0112211840931	0.0	0.0250872497926	0.000485155797612	0.0069017324757	0.000500805984632	9.39011221184e-05	0.0225206191214	0.526236881559	0.0058688201324	7.82509350987e-05	0.00829459912046	0.000749625187406	4.69505610592e-05	0.0	0.0556520650422	0.755105873515
01.5557.02	0.000400160064026	0.00670268107243	0.000766973456049	0.00403494731226	0.000166733360011	0.00323462718421	0.00573562758437	0.100540216086	0.00360144057623	6.66933440043e-05	0.031412565026	0.111728575607	0.00133386688009	0.000166733360011	0.00900360144058	0.0935946183094	0.0	6.66933440043e-05	0.00823662798453	0.211617980526
01.6157.01	3.32989244447e-05	0.00629349672006	0.000665978488895	0.00193133761779	0.000166494622224	0.432985914555	0.00129865805334	0.0315673803736	0.00269721288002	0.000432886017782	0.0203789417602	0.187366167024	0.000266391395558	0.000133195697779	0.00705937198228	0.362419700214	0.0	0.00119876128001	0.000499483866671	0.369751257034
01.6234.01	0.0	0.00124997395888	0.000645819878753	0.0127914001792	0.000249994791775	0.00418741276223	0.00539572092248	0.0224161996625	0.00395825086977	0.0	0.0128955646757	0.0	0.00681235807587	2.08328993146e-05	0.00435407595675	0.238145789101	2.08328993146e-05	0.000583321180809	0.00441657465469	0.146267786088
01.6626.01	0.000173818037346	0.0209823202225	0.000968414779499	0.0108263806118	2.48311481923e-05	0.058502185141	0.00126638855781	0.0610349622567	0.0157429479539	0.0	0.00655542312277	0.105538922156	0.0264203416766	0.0	0.0165127135479	0.221556886228	2.48311481923e-05	9.93245927692e-05	0.0467322208979	0.0586015097338
01.6708.01	6.41642605069e-05	0.00102662816811	0.0	0.00359319858839	0.000192492781521	0.00097850497273	0.00418671799808	0.0150786012191	0.000962463907603	1.60410651267e-05	0.00842155919153	0.395852394023	0.000962463907603	0.0	0.00542188001283	0.488868557487	0.000112287455887	3.20821302534e-05	0.000240615976901	0.00798845043311
01.6881.01	1.91179000899e-05	0.000420593801977	0.0	0.022348825205	0.000764716003594	0.00305886401438	0.0750759936529	0.0816143154836	0.00105148450494	1.91179000899e-05	0.0601640315828	0.227770177839	0.00984571854627	0.000172061100809	0.0105721987497	0.0	0.00284856711339	0.0	0.00126178140593	0.218230829526
01.7182.01	0.000562866868584	0.00345761076416	0.000321638210619	0.0145809322147	0.000348441394838	0.00375244579056	0.0360502827736	0.106917901847	0.134525181592	0.0	0.0251949931652	0.252364737041	0.000643276421239	0.000214425473746	0.0101584068187	0.189935679152	8.04095526549e-05	0.0019030260795	0.000830898710767	0.245597576992
01.7284.01	0.0	0.000353294470942	0.0	0.0352705646823	0.0	0.000279691456162	0.00182535476653	0.00378319495967	0.0870576458812	0.0	0.0158688099865	0.590988372093	0.00326797385621	0.0	0.00659483012424	0.35988372093	0.00217864923747	4.41618088677e-05	0.0	0.511423187894
01.7301.01	0.0	0.00573868642823	0.0015363412485	0.00293712297508	0.000225932536545	0.00510607532591	0.00666500982807	0.064074467364	0.00384085312126	4.51865073089e-05	0.0690223899144	0.00114416475973	0.0035245475701	0.000835950385215	0.00908248796909	0.0	4.51865073089e-05	4.51865073089e-05	0.00210117258986	0.0331894896184
01.7479.01	0.00012652622256	0.000927858965437	0.0	0.000653718816558	0.00014761392632	0.000780245039118	0.000316315556399	0.00666371438814	0.00234073511735	0.0	0.012736973071	0.696162307504	0.000653718816558	0.000189789333839	0.00845616920773	0.00464434123686	0.000611543409038	0.000189789333839	0.00461820712343	0.123658294848
01.7481.01	1.76622275601e-05	0.000777138012646	0.0	0.00586385954997	0.00104207142605	0.000741813557526	0.00584619732241	0.0168497650924	0.659507577096	3.53244551203e-05	0.0197287081847	0.0495458298927	0.00789501571938	5.29866826804e-05	0.00482178812392	0.0825763831544	0.000300257868522	5.29866826804e-05	0.000370906778763	0.0445971245894
01.7483.02	0.00317989886879	0.00625553875828	0.0	0.00312776937914	0.0034926758067	0.00995673252359	0.00745451702028	0.0468122817078	0.219256633478	0.000208517958609	0.0277850179847	0.357115310451	0.023093363916	0.00130323724131	0.00901840170985	0.0	0.0	0.0	0.0148569045509	0.1813584945
01.7506.01	4.34385995396e-05	0.000738456192172	0.0	0.00584249163807	6.51578993093e-05	0.00104252638895	0.0318187741627	0.120303201425	0.00173754398158	0.0	0.00293210546892	0.0486903962391	0.000260631597237	0.0	0.00102080708918	0.141034251175	0.0	0.0	0.031797054863	0.0246296859389
01.7536.02	0.000848364877694	0.0129072656392	0.00105035651524	0.00603954996263	0.0352071424243	0.00197951804795	0.0145433979033	0.0765952289575	0.0465590724544	0.000181792473792	0.0192498030582	0.713684210526	0.00474680348234	0.0117155149777	0.0178358615953	0.108538011696	0.0	0.0	0.00268648877936	0.0952996545943
01.7541.02	0.00303892048623	0.0170904427345	0.000223040035686	0.124344819895	0.000111520017843	0.0191535630646	0.0115702018512	0.0586037693766	0.00677484108397	0.0	0.0547842087655	0.118596491228	0.00256496041039	0.000418200066912	0.00588268094123	0.0	5.57600089216e-05	0.00250920040147	0.000446080071373	0.202548232408
01.7567.01	0.000146724378255	0.0101239820996	0.00447509353679	0.00975717115399	7.33621891277e-05	0.0799647861492	0.00198077910645	0.0154060597168	0.000806984080405	0.0	0.0429168806397	0.236803302861	7.33621891277e-05	0.000293448756511	0.00432836915854	0.401651430257	0.000733621891277	0.00095370845866	0.0940503264617	0.197711099699
01.7655.01	0.00182579141035	0.00530883963934	0.0	0.00690991826072	0.000308980084829	0.00410100839864	0.0148591331704	0.0432572118761	0.00727507654279	5.61781972417e-05	0.0289036824808	0.00191815856777	0.00176961321311	0.000842672958625	0.0128648071683	0.0	0.0	8.42672958625e-05	0.00859526417797	0.179096092806
01.7675.01	3.17168321228e-05	0.000729487138825	0.0	0.00482095848267	0.0	0.00555044562149	0.000348885153351	0.00843667734467	0.00520156046814	3.17168321228e-05	0.00777062387009	0.192837465565	0.0011100891243	0.0	0.00520156046814	0.37741046832	0.00130039011704	3.17168321228e-05	0.000824637635193	0.773002632497
01.7709.01	0.00298839124938	0.00118769395809	0.000459752499904	0.00249032604115	7.66254166507e-05	0.014367265622	0.0242902570783	0.0583885674878	0.0120685031225	0.0	0.0722194551933	0.298526585522	0.0193862304126	0.000153250833301	0.00386958354086	0.192611573777	0.000842879583158	0.0	0.00563196812383	0.325619708057
01.7731.01	0.00893697919443	0.00419309560613	0.00293161345344	0.00218538457438	7.10694170531e-05	0.0043530017945	0.000994971838743	0.0194552529183	0.0203080859229	0.0	0.0229731890624	0.0481795784287	0.00593429632393	0.000302045022476	0.0106248778494	0.000547495209417	5.33020627898e-05	0.00115487802711	0.0480251585736	0.559511753105
01.7811.01	0.000323729362253	0.000138741155251	0.0	0.00818572815983	0.000184988207002	0.00124867039726	0.000416223465754	0.0257133607733	0.0120242334551	4.62470517505e-05	0.00776950469408	0.0	0.000508717569255	0.000138741155251	0.0172501503029	0.0	0.000739952828007	0.000231235258752	0.000323729362253	0.0308467835176
01.7912.01	0.000265724231393	0.00613822974517	5.31448462785e-05	0.0229320011692	0.000186006961975	0.00164749023463	0.000823745117317	0.0135253633779	0.00071745542476	2.65724231393e-05	0.0455717056838	0.803097864351	0.000292296654532	0.000425158770228	0.00736056120958	0.0502229523586	7.97172694178e-05	0.000186006961975	0.091781149523	0.2784789945
01.7927.01	0.000601286753653	0.00384823522338	0.00339727015814	0.0158439059588	0.000420900727557	0.00986110275991	0.0107329685527	0.0529132343214	0.000992123143527	6.01286753653e-05	0.0114244483194	0.32298136646	0.0104323251759	0.000841801455114	0.00790692081053	0.0	0.000210450363778	0.000691479766701	0.000901930130479	0.02140580843
01.8000.01	0.0	0.000499857183662	0.0	0.0115443206703	9.52108921261e-05	0.00304674854803	0.00894982385985	0.0306103018185	0.0190183757022	2.38027230315e-05	0.0225649814339	0.097609561753	0.012805864991	4.7605446063e-05	0.00687898695611	0.14807436919	0.00078548986004	0.000166619061221	0.00204703418071	0.0382985813577
